#      x          Cp  
     0.01377   -0.21001
     0.01206   -0.16596
     0.01049   -0.11644
     0.00903   -0.06085
     0.00770    0.00138
     0.00648    0.07053
     0.00537    0.14694
     0.00437    0.23048
     0.00348    0.32049
     0.00268    0.41580
     0.00200    0.51425
     0.00141    0.61292
     0.00093    0.70798
     0.00055    0.79511
     0.00028    0.87031
     0.00010    0.92986
     0.00001    0.97134
     0.00001    0.99451
     0.00010    0.99950
     0.00028    0.98564
     0.00055    0.95342
     0.00093    0.90498
     0.00141    0.84339
     0.00200    0.77238
     0.00268    0.69571
     0.00348    0.61664
     0.00437    0.53789
     0.00537    0.46134
     0.00648    0.38833
     0.00770    0.31966
     0.00903    0.25559
     0.01049    0.19632
     0.01206    0.14170
     0.01377    0.09147
     0.01563    0.04540
     0.01764    0.00320
     0.01983   -0.03551
     0.02220   -0.07098
     0.02478   -0.10346
     0.02760   -0.13326
     0.03067   -0.16057
     0.03403   -0.18556
     0.03771   -0.20843
     0.04174   -0.22928
     0.04617   -0.24823
     0.05101   -0.26534
     0.05630   -0.28069
     0.06206   -0.29432
     0.06830   -0.30627
     0.07501   -0.31661
     0.08218   -0.32537
     0.08976   -0.33265
     0.09773   -0.33855
     0.10603   -0.34316
     0.11461   -0.34663
     0.12344   -0.34905
     0.13248   -0.35053
     0.14169   -0.35121
     0.15105   -0.35114
     0.16053   -0.35043
     0.17013   -0.34916
     0.17981   -0.34737
     0.18958   -0.34515
     0.19942   -0.34253
     0.20932   -0.33956
     0.21929   -0.33628
     0.22930   -0.33271
     0.23936   -0.32890
     0.24946   -0.32487
     0.25961   -0.32065
     0.26979   -0.31625
     0.28000   -0.31169
     0.29024   -0.30699
     0.30051   -0.30218
     0.31081   -0.29726
     0.32114   -0.29223
     0.33148   -0.28714
     0.34185   -0.28196
     0.35224   -0.27672
     0.36265   -0.27143
     0.37308   -0.26609
     0.38352   -0.26071
     0.39398   -0.25531
     0.40446   -0.24987
     0.41495   -0.24441
     0.42545   -0.23894
     0.43596   -0.23345
     0.44649   -0.22795
     0.45703   -0.22245
     0.46758   -0.21695
     0.47814   -0.21144
     0.48871   -0.20593
     0.49929   -0.20043
     0.50987   -0.19492
     0.52047   -0.18943
     0.53107   -0.18393
     0.54168   -0.17844
     0.55229   -0.17295
     0.56292   -0.16746
     0.57354   -0.16198
     0.58418   -0.15649
     0.59481   -0.15100
     0.60546   -0.14550
     0.61610   -0.13999
     0.62675   -0.13447
     0.63740   -0.12893
     0.64806   -0.12337
     0.65872   -0.11778
     0.66938   -0.11216
     0.68004   -0.10650
     0.69071   -0.10079
     0.70137   -0.09504
     0.71204   -0.08921
     0.72271   -0.08332
     0.73337   -0.07733
     0.74404   -0.07126
     0.75471   -0.06507
     0.76537   -0.05876
     0.77604   -0.05230
     0.78670   -0.04569
     0.79736   -0.03890
     0.80802   -0.03189
     0.81868   -0.02465
     0.82933   -0.01714
     0.83998   -0.00932
     0.85062   -0.00116
     0.86126    0.00742
     0.87188    0.01646
     0.88249    0.02605
     0.89307    0.03628
     0.90361    0.04725
     0.91410    0.05912
     0.92449    0.07205
     0.93475    0.08624
     0.94481    0.10198
     0.95456    0.11961
     0.96390    0.13958
     0.97270    0.16266
     0.98083    0.18997
     0.98822    0.22556
     0.99485    0.26940
     1.00000    0.41714
